community_board,complaint_type,count,date,ingested_at
01 STATEN ISLAND,Noise - Residential,102,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 BROOKLYN,Noise - Residential,102,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 QUEENS,Noise - Street/Sidewalk,101,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 MANHATTAN,Noise - Commercial,101,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 MANHATTAN,Noise - Street/Sidewalk,100,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
09 BROOKLYN,Illegal Parking,99,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
10 MANHATTAN,Noise - Residential,99,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
08 QUEENS,Noise - Residential,98,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
17 BROOKLYN,Noise - Residential,96,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
11 BROOKLYN,Blocked Driveway,96,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 MANHATTAN,Encampment,94,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
07 BRONX,Noise - Residential,94,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
07 BROOKLYN,Illegal Parking,94,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
05 BRONX,Illegal Parking,93,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
02 MANHATTAN,Noise - Residential,93,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
13 BROOKLYN,Illegal Parking,92,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
07 QUEENS,Blocked Driveway,92,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
11 MANHATTAN,Noise - Residential,92,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
07 BRONX,Illegal Parking,92,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
05 QUEENS,Blocked Driveway,92,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 MANHATTAN,Illegal Parking,92,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
05 MANHATTAN,Encampment,91,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 QUEENS,Blocked Driveway,91,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
09 BROOKLYN,Noise - Residential,91,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
06 BRONX,Noise - Residential,91,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
11 BRONX,Noise - Residential,89,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
10 MANHATTAN,Illegal Parking,89,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
06 BRONX,Noise - Street/Sidewalk,89,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 QUEENS,Blocked Driveway,88,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 BROOKLYN,Noise - Commercial,88,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 BRONX,Noise - Residential,88,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 BROOKLYN,Illegal Parking,88,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 MANHATTAN,Encampment,87,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 STATEN ISLAND,Illegal Parking,86,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 BROOKLYN,Noise - Street/Sidewalk,86,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 BROOKLYN,Illegal Parking,86,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 BRONX,Illegal Parking,86,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
08 BRONX,Noise - Street/Sidewalk,85,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 MANHATTAN,Noise - Residential,85,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
15 BROOKLYN,Blocked Driveway,84,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 QUEENS,Blocked Driveway,83,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 QUEENS,Noise - Residential,83,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
05 MANHATTAN,Homeless Person Assistance,82,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
02 BROOKLYN,Noise - Residential,81,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
07 QUEENS,Noise - Residential,80,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
